meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
European Championships 2008,01:54.65,21/03/2008,Men 200 Butterfly LCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,134,135,977,Eindhoven,NED
16th FINA World Championships 2015,01:54.66,05/08/2015,Men 200 Butterfly LCM Male,DEN,Denmark,"BROMER, Viktor B",M,20/04/1993,,,136,136,919,Kazan,RUS
14th FINA World Championships 2011,01:54.67,27/07/2011,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"WU, Peng",M,16/05/1987,,,137,137,919,Shanghai,CHN
XXXIIIe Meeting de Montecarlo - Mare Nostrum,01:54.68,13/06/2015,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,138,138,919,Monte Carlo,MON
LIII Settecolli Trophy - 2016,01:54.69,25/06/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,139,139,919,Rome,ITA
Japan Open 2012,01:54.69,25/05/2012,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,139,140,919,Tokyo,JPN
XXXIIe Meeting International de Montecarlo,01:54.70,07/06/2014,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,141,141,918,Monaco,MON
2014 Meeting International de Natation de Monte Ca,01:54.70,07/06/2014,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,141,142,918,Monte Carlo,MON
2012 EnergyAustralia Swimming,01:54.71,15/03/2012,Men 200 Butterfly LCM Male,AUS,Australia,"D'ARCY, Nick",M,23/07/1987,,,143,143,918,Adelaide,AUS
13th FINA World Championships 2009,01:54.71,28/07/2009,Men 200 Butterfly LCM Male,RSA,South Africa,"ROUSSEAU, Sebastien",M,10/09/1990,,,143,144,,Rome,ITA
Olympic Games Beijing 2008,01:54.71,13/08/2008,Men 200 Butterfly LCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,143,145,976,Beijing,CHN
Japan Open 2018,01:54.72,26/05/2018,Men 200 Butterfly LCM Male,JPN,Japan,"YAJIMA, Yuya",M,14/07/1996,,,146,146,918,Tokyo,JPN
Japan Open 2018,01:54.72,25/05/2018,Men 200 Butterfly LCM Male,JPN,Japan,"YAJIMA, Yuya",M,14/07/1996,,,146,147,918,Tokyo,JPN
17th FINA World Championships 2017,01:54.73,26/07/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,148,148,918,Budapest,HUN
Olympic Games Rio 2016,01:54.73,08/08/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,148,149,918,Rio de Janeiro,BRA
11th Pan Pacific Championships 2010,01:54.73,18/08/2010,Men 200 Butterfly LCM Male,AUS,Australia,"D'ARCY, Nick",M,23/07/1987,,,148,150,918,"Irvine, CA",USA
16th FINA World Championships 2015,01:54.75,04/08/2015,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,151,151,917,Kazan,RUS
13th FINA World Championships 2009,01:54.75,28/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,151,152,,Rome,ITA
Japan Open 2017 (50m),01:54.78,19/05/2017,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,153,153,916,Tokyo,JPN
18th FINA World Championships 2019,01:54.79,24/07/2019,Men 200 Butterfly LCM Male,UKR,Ukraine,"KESYL, Denys",M,26/10/2000,,,154,154,916,Gwangju,KOR
2017 Summer National Champs,01:54.79,27/06/2017,Men 200 Butterfly LCM Male,USA,United States of America,"KALISZ, Chase",M,07/03/1994,,,154,155,916,Indianapolis,USA
European Championships 2016,01:54.79,18/05/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,154,156,916,London,GBR
28th Summer Universiade 2015,01:54.79,07/07/2015,Men 200 Butterfly LCM Male,RUS,Russian Federation,"KOPTELOV, Evgeny",M,24/11/1993,,,154,157,916,Gwangju,KOR
CXVII. National Championship in Memory of Tamas Sz,01:54.79,30/06/2015,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,154,158,916,Gyor,HUN
Olympic Games London 2012,01:54.79,30/07/2012,Men 200 Butterfly LCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,154,159,916,London,GBR
2012 ST TXLA Elite Invite,01:54.79,01/06/2012,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,154,160,916,Austin,USA
Hungarian National Championships,01:54.79,22/06/2011,Men 200 Butterfly LCM Male,HUN,Hungary,"BICZO, Bence",M,19/01/1993,,,154,161,916,Debrecen,HUN
Mare Nostrum MONACO,01:54.80,04/06/2016,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,162,162,916,Monte Carlo,MON
14th FINA World Championships 2011,01:54.80,26/07/2011,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"CHEN, Yin",M,29/03/1986,,,162,163,916,Shanghai,CHN
11th Pan Pacific Championships 2010,01:54.81,18/08/2010,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,164,164,916,"Irvine, CA",USA
Olympic Games Rio 2016,01:54.82,09/08/2016,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,165,165,915,Rio de Janeiro,BRA
Meeting International de Canet-en-Roussillon,01:54.82,09/06/2016,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,165,166,915,Canet-en-Roussillon,FRA
16th FINA World Championships 2015,01:54.82,04/08/2015,Men 200 Butterfly LCM Male,DEN,Denmark,"BROMER, Viktor B",M,20/04/1993,,,165,167,915,Kazan,RUS
2014 BHP Billiton Aquatic Super Series,01:54.82,31/01/2014,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,165,168,915,Perth,AUS
57th Sette Colli,01:54.83,12/08/2020,Men 200 Butterfly LCM Male,ITA,Italy,"BURDISSO, Federico",M,20/09/2001,,,169,169,896,Roma,ITA
U.S. Olympic Team Trials - Swimming,01:54.84,29/06/2016,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,170,170,915,"Omaha, NE",USA
Japan Swim 2014,01:54.84,10/04/2014,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,170,171,915,Tokyo,JPN
